Year,Row,Nr.,Name,Geboren,Aufnahme,Gestorben,Fachsektion,Link
1926,3,,Heinrich Adolph Baumhauer,26. Okt. 1848,,1. Aug. 1926,"Mineralogie, Kristallographie und Petrologie",/wiki/Heinrich_Adolph_Baumhauer
1926,4,,Jan Boeke,1874,,1956,Anatomie,/wiki/Jan_Boeke
1926,5,,Carl Bosch,27. Aug. 1874,,26. Apr. 1940,Chemie,/wiki/Carl_Bosch
1926,6,,Ivar Broman,19. Sep. 1868,,11. Mai 1946,Anatomie,/wiki/Ivar_Broman
1926,7,,Robert Bárány,22. Apr. 1876,,8. Apr. 1936,Oto-Rhino-Laryngologie,/wiki/Robert_B%C3%A1r%C3%A1ny
1926,8,,Carlos Chagas,9. Juli 1879,,8. Nov. 1934,Pathologie,/wiki/Carlos_Chagas
1926,9,,Wilhelm Clausen,23. Dez. 1878,,28. Apr. 1961,Ophthalmologie,/wiki/Wilhelm_Clausen
1926,10,,Karl Dehio,8. Juni 1851,,26. Feb. 1927,Pathologie,/wiki/Karl_Dehio
1926,11,,Charles Dhéré,5. März 1876,,18. Jan. 1955,Physiologie,/wiki/Charles_Dh%C3%A9r%C3%A9
1926,12,,Eduard Dietrich,10. Okt. 1860,,7. Dez. 1947,Gerichtliche Medizin,/wiki/Eduard_Dietrich
1926,13,,Joannes Gregorius Dusser de Barenne,1885,,1940,Physiologie,
1926,14,,Albert Döderlein,5. Juli 1860,,10. Dez. 1941,Geburtshilfe und Gynäkologie,/wiki/Albert_D%C3%B6derlein
1926,15,,Paul Flechsig,29. Juni 1847,,22. Juli 1929,"Psychiatrie, Med. Psychologie und Neurologie",/wiki/Paul_Flechsig
1926,16,,Carlo Foà,1880,,1971,Physiologie,
1926,17,,Max Friederichsen,21. Juni 1874,,22. Aug. 1941,Geographie,/wiki/Max_Friederichsen
1926,18,,Robin Fåhraeus,1880,,1968,Innere Medizin,/wiki/Robin_F%C3%A5hraeus
1926,19,,Friedrich Fülleborn,13. Sep. 1866,,9. Sep. 1933,Mikrobiologie und Immunologie,/wiki/Friedrich_F%C3%BClleborn
1926,20,,Heinrich Füth,,,,Geburtshilfe und Gynäkologie,/wiki/Heinrich_F%C3%BCth
1926,21,,Marinos Geroulanos,21. Feb. 1867,,21. Juni 1960,Chirurgie,/wiki/Marinos_Geroulanos
1926,22,,Gustav Giemsa,20. Nov. 1867,,10. Juni 1948,Physiologie,/wiki/Gustav_Giemsa
1926,23,,Victor Moritz Goldschmidt,27. Jan. 1888,,20. März 1947,"Mineralogie, Kristallographie und Petrologie",/wiki/Victor_Moritz_Goldschmidt
1926,24,,Gerrit Grijns,28. Aug. 1865,,1. Nov. 1944,Landbauwissenschaften,/wiki/Gerrit_Grijns
1926,25,,Otto Grosser,21. Nov. 1873,,23. März 1951,Anatomie,/wiki/Otto_Grosser
1926,26,,Georg Grund,1878,,1944,Innere Medizin,
1926,27,,Fritz Haber,9. Dez. 1868,,29. Jan. 1934,Chemie,/wiki/Fritz_Haber
1926,28,,Otto Hahn,8. März 1879,,28. Juli 1968,Chemie,/wiki/Otto_Hahn
1926,29,,August Hammar,1861,,1946,Anatomie,
1926,30,,Helmut Hasse,25. Aug. 1898,,26. Dez. 1979,Mathematik,/wiki/Helmut_Hasse
1926,31,,Herbert Hayes,1884,,1972,Landbauwissenschaften,
1926,32,,Hans Held,8. Aug. 1866,,15. Dez. 1942,Anatomie,/wiki/Hans_Held_(Mediziner)
1926,33,,Kurt Hess,5. Okt. 1888,,8. Apr. 1961,Chemie,/wiki/Kurt_Hess_(Chemiker)
1926,34,,Bernhard Heymann,23. Apr. 1861,,10. Mai 1933,Chemie,/wiki/Bernhard_Heymann
1926,35,,Wilhelm Hoffmann,1875,,1950,Pathologie,
1926,36,,William Henry Howell,1860,,1945,Physiologie,
1926,37,,Reid Hunt,1870,,1948,Pharmakologie,
1926,38,,Fritz Jaeger,8. Jan. 1881,,26. Nov. 1966,Geographie,/wiki/Fritz_Jaeger_(Geograph)
1926,39,,Erich Kallius,3. Aug. 1867,,1. Jan. 1935,Anatomie,/wiki/Erich_Kallius
1926,40,,Franz Keibel,6. Juli 1861,,27. Apr. 1929,Anatomie,/wiki/Franz_Keibel
1926,41,,Otto Kleinschmidt,13. Dez. 1870,,25. März 1954,Zoologie,/wiki/Otto_Kleinschmidt
1926,42,,Elmer Peter Kohler,6. Nov. 1865,,24. Mai 1938,Chemie,/wiki/Elmer_Peter_Kohler
1926,43,,Norbert Krebs,29. Aug. 1876,,5. Dez. 1947,Geographie,/wiki/Norbert_Krebs
1926,44,,Otto Körner,18. Mai 1858,,9. Okt. 1935,Oto-Rhino-Laryngologie,/wiki/Otto_K%C3%B6rner
1926,45,,Otto Küstner,26. Aug. 1849,,12. Mai 1931,Geburtshilfe und Gynäkologie,/wiki/Otto_K%C3%BCstner
1926,46,,Konstantinos Logothetopoulos,1. Aug. 1878,,6. Juli 1961,Geburtshilfe und Gynäkologie,/wiki/Konstantinos_Logothetopoulos
1926,47,,Adolfo Lutz,6. Okt. 1855,,18. Dez. 1940,Zoologie,/wiki/Adolfo_Lutz
1926,48,,Fritz Löwe,1874,,4. März 1955,Physik,/wiki/Fritz_L%C3%B6we
1926,49,,John A. Mandel,1865,,1968,Chemie,
1926,50,,Alexander Alexandrowitsch Maximow,3. Feb. 1874,,4. Dez. 1928,Zoologie,/wiki/Alexander_Alexandrowitsch_Maximow_(Mediziner)
1926,51,,Ludwig Mecking,3. Mai 1879,,20. Okt. 1952,Geographie,/wiki/Ludwig_Mecking
1926,52,,Lise Meitner,7. Nov. 1878,,27. Okt. 1968,Physik,/wiki/Lise_Meitner
1926,53,,Edward Mellanby,1884,,1955,Pharmakologie,/wiki/Edward_Mellanby
1926,54,,Carl Menge,18. Aug. 1864,,9. Okt. 1945,Geburtshilfe und Gynäkologie,/wiki/Carl_Menge
1926,55,,Ludwig Milch,4. Aug. 1867,,6. Jan. 1928,"Mineralogie, Kristallographie und Petrologie",/wiki/Ludwig_Milch
1926,56,,Giovanni Mingazzini,1859,,1929,"Psychiatrie, Med. Psychologie und Neurologie",
1926,57,,Siegfried Mollier,1866,,1954,Anatomie,/wiki/Siegfried_Mollier
1926,58,,Aureliano Oyarzún,,,,Geographie,
1926,59,,Max Planck,23. Apr. 1858,,4. Okt. 1947,Physik,/wiki/Max_Planck
1926,60,,Julius Pohl,1. Nov. 1861,,27. Sep. 1942,Innere Medizin,/wiki/Julius_Pohl
1926,61,,Carlos Porter,1867,,1942,Zoologie,
1926,62,,José Antonio Presno y Bastiony,,,,Chirurgie,
1926,63,,Carl Pulfrich,24. Sep. 1858,,12. Aug. 1927,Geophysik und Meteorologie,/wiki/Carl_Pulfrich
1926,64,,Fritz Raschig,9. Juni 1863,,4. Feb. 1928,Chemie,/wiki/Fritz_Raschig
1926,65,,Johannes Max Hugo Richter,10. März 1878,,3. Aug. 1943,Landbauwissenschaften,/wiki/Johannes_Max_Hugo_Richter
1926,66,,Benno Romeis,3. Apr. 1888,,30. Nov. 1971,Anatomie,/wiki/Benno_Romeis
1926,67,,Rudolf Rothe,15. Okt. 1873,,26. Okt. 1942,Mathematik,/wiki/Rudolf_Rothe
1926,68,,Cesar Rubio,1858,,1930,Geologie und Paläontologie,
1926,69,,Carl Gustaf Santesson,,,,Pharmakologie,
1926,70,,Carl Arthur Scheunert,7. Juni 1879,,12. Jan. 1957,Physiologie,/wiki/Carl_Arthur_Scheunert
1926,71,,Arthur Schloßmann,16. Dez. 1867,,5. Juni 1932,Pädiatrie,/wiki/Arthur_Schlo%C3%9Fmann
1926,72,,Gerhard Schott,15. Aug. 1866,,15. Jan. 1961,Geographie,/wiki/Gerhard_Schott_(Ozeanograf)
1926,73,,John Sjoequist,,,,Physiologie,
1926,74,,Aladar Skita,18. Feb. 1876,,26. Nov. 1953,Chemie,/wiki/Aladar_Skita
1926,75,,Johannes Sobotta,31. Jan. 1869,,20. Apr. 1945,Anatomie,/wiki/Johannes_Sobotta
1926,76,,Walter Stahlberg,1863,,1951,Geographie,/wiki/Walter_Stahlberg
1926,77,,Alfred Stock,16. Juli 1876,,12. Aug. 1946,Chemie,/wiki/Alfred_Stock
1926,78,,Walter Stoeckel,14. März 1871,,12. Feb. 1961,Geburtshilfe und Gynäkologie,/wiki/Walter_Stoeckel
1926,79,,Karl Sudhoff,26. Nov. 1853,,8. Okt. 1938,Geburtshilfe und Gynäkologie,/wiki/Karl_Sudhoff
1926,80,,Franz Thorbecke,8. Nov. 1875,,12. Aug. 1945,Geographie,/wiki/Franz_Thorbecke_(Geograph)
1926,81,,José Maria Torroja y Miret,1884,,1954,Geographie,
1926,82,,Wilhelm Traube,10. Jan. 1866,,28. Sep. 1942,Chemie,/wiki/Wilhelm_Traube
1926,83,,Karl Turban,7. Nov. 1856,,5. Apr. 1935,Innere Medizin,/wiki/Karl_Turban
1926,84,,Frank Underhill,1878,,1932,Pharmakologie,
1926,85,,Johan Herman Lie Vogt,14. Okt. 1858,,3. Jan. 1932,Geologie und Paläontologie,/wiki/Johan_Herman_Lie_Vogt
1926,86,,Albert Vögler,8. Feb. 1877,,14. Apr. 1945,Geologie und Paläontologie,/wiki/Albert_V%C3%B6gler
1926,87,,Johannes Weigelt,24. Juli 1890,,22. Apr. 1948,Geologie und Paläontologie,/wiki/Johannes_Weigelt
1926,88,,William Henry Welch,8. Apr. 1850,,30. Apr. 1934,Wissenschafts- und Medizingeschichte,/wiki/William_Henry_Welch
1926,89,,Georg Winter,22. Juni 1856,,13. März 1946,Geburtshilfe und Gynäkologie,/wiki/Georg_Winter_(Mediziner)
1926,90,,Karl Wittmaack,17. Jan. 1876,,28. Jan. 1972,Geburtshilfe und Gynäkologie,/wiki/Karl_Wittmaack
1926,91,,Adrian de Kleyn,,,,Physiologie,/wiki/Adrian_de_Kleyn
1926,92,,Carlos de la Torre y Huerta,1858,,1950,Zoologie,
1926,93,,Gerard Abraham van Rijnberk,15. Aug. 1874,,30. Sep. 1953,Physiologie,/wiki/Gerard_Abraham_van_Rijnberk
1926,94,,Otto von Franqué,11. Sep. 1867,,11. Apr. 1937,Geburtshilfe und Gynäkologie,/wiki/Otto_von_Franqu%C3%A9
1926,95,,Ludolf Krehl,26. Dez. 1861,,26. Mai 1937,Innere Medizin,/wiki/Ludolf_Krehl_(Mediziner)
1926,96,,Max von Laue,9. Okt. 1879,,24. Apr. 1960,Innere Medizin,/wiki/Max_von_Laue
1926,97,,Moritz von Rohr,4. Apr. 1868,,20. Juni 1940,Physik,/wiki/Moritz_von_Rohr
1926,98,,Carl Friedrich von Siemens,5. Sep. 1872,,1. Juli 1941,Physik,/wiki/Carl_Friedrich_von_Siemens
1926,99,,Georg von Wendt,,,,Landbauwissenschaften,
1927,0,,Franz Aubell,21. Feb. 1878,,5. Mai 1954,Mathematik,/wiki/Franz_Aubell
